ROWNUM;FullName;ShortName;LegalAddress;ExamDate;SubjectName;PassedQuantity;AVGScore;global_id;
5721;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1352»";"ГБОУ школа № 1352";"107207, г. Москва, Щелковское ш., д.77А";"17.06.2015";"Физика";"2";"4";"64167365";
5722;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна»";"ГБОУ школа № 1222";"109052, г. Москва, ул.Нижегородская, д.64";"03.08.2015";"Русский язык";"1";"3";"64167366";
5723;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1520 имени Капцовых»";"ГБОУ гимназия № 1520 им. Капцовых";"125009, г. Москва, Леонтьевский пер., д.19/2, стр.1";"27.05.2015";"Математика";"39";"3.77";"64167367";
5724;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1352»";"ГБОУ школа № 1352";"107207, г. Москва, Щелковское ш., д.77А";"03.06.2015";"Русский язык";"99";"4.17";"64167368";
5725;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1980»";"ГБОУ школа № 1980";"117042, г. Москва, Чечерский пр., д.56";"05.06.2015";"История";"3";"3.67";"64167369";
5726;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1411»";"ГБОУ школа № 1411";"127566, г. Москва, Северный бульвар, д. 1 а";"05.06.2015";"Иностранный язык (английский язык)";"11";"4";"64167370";
5727;"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж градостроительства, транспорта и технологий № 41»";"ГБПОУ КГТиТ № 41";"121351, г. Москва, ул. Бобруйская, д.7";"29.05.2015";"Химия";"2";"5";"64167371";
5728;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1540»";"ГБОУ гимназия № 1540";"103055, г. Москва, Новослободская ул., д.57, стр.1";"17.06.2015";"Биология";"1";"4";"64167372";
5729;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля»";"ГБОУ школа № 1251 имени генерала Шарля де Голля";"125252, г. Москва, ул. Сальвадора Альенде, д. 9";"03.06.2015";"Русский язык";"132";"4.11";"64167373";
5730;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1352»";"ГБОУ школа № 1352";"107207, г. Москва, Щелковское ш., д.77А";"27.05.2015";"Математика";"75";"3.53";"64167374";
5731;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1520 имени Капцовых»";"ГБОУ гимназия № 1520 им. Капцовых";"125009, г. Москва, Леонтьевский пер., д.19/2, стр.1";"29.05.2015";"Обществознание";"22";"3.77";"64167375";
5732;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1250»";"ГБОУ школа № 1250";"125212, г. Москва, Ленинградское шоссе, д. 27";"29.05.2015";"Обществознание";"4";"3.75";"64167376";
5733;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 962»";"ГБОУ школа № 962";"127562, г. Москва, ул. Санникова, д.3, корп.3.";"29.05.2015";"Обществознание";"25";"4.32";"64167377";
5734;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1507»";"ГБОУ гимназия № 1507";"117321, г. Москва, ул. Профсоюзная, дом 132, корп.9";"03.06.2015";"Русский язык";"120";"4.13";"64167378";
5735;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1525 «Красносельский»";"ГБОУ лицей № 1525 «Красносельский»";"107140, г. Москва, 2-й Красносельский переулок, дом 18";"17.06.2015";"Иностранный язык (английский язык)";"7";"4.43";"64167379";
5736;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранного (английского) языка № 1245»";"ГБОУ школа № 1245";"117534, г. Москва, Кировоградская ул., д.42, корп.2";"18.06.2015";"Математика";"7";"3.14";"64167380";
5737;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 218»";"ГБОУ школа № 218";"127434, г. Москва, Дмитровское шоссе, дом 5 А";"05.06.2015";"Биология";"6";"4.17";"64167381";
5738;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2009»";"ГБОУ школа № 2009";"117041, г. Москва, улица Адмирала Руднева, дом 16, корпус 1";"05.06.2015";"Иностранный язык (английский язык)";"16";"4.63";"64167382";
5739;"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1520 имени Капцовых»";"ГБОУ гимназия № 1520 им. Капцовых";"125009, г. Москва, Леонтьевский пер., д.19/2, стр.1";"05.06.2015";"Иностранный язык (английский язык)";"41";"4.54";"64167383";
5740;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2098 «Многопрофильный образовательный центр» имени Героя Советского Союза Л.М. Доватора»";"ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора";"125635, г. Москва, ул.Ангарская, д.22А";"18.06.2015";"Обществознание";"1";"4";"64167384";
5741;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1253 с углубленным изучением иностранного языка»";"ГБОУ школа № 1253";"119021, г. Москва, Зубовский б-р, д.5, стр.1";"29.05.2015";"Информатика";"3";"4.33";"64167385";
5742;"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1535»";"ГБОУ лицей № 1535";"119048, г. Москва, ул.Усачева, д.50";"17.06.2015";"Физика";"25";"4.24";"64167386";
5743;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля»";"ГБОУ школа № 1251 имени генерала Шарля де Голля";"125252, г. Москва, ул. Сальвадора Альенде, д. 9";"05.06.2015";"История";"1";"3";"64167387";
5744;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2031»";"ГБОУ школа № 2031";"111675, г. Москва, ул.Дмитриевского, д.13";"29.05.2015";"Химия";"1";"4";"64167388";
5745;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением французского языка № 1095»";"ГБОУ школа № 1095";"129281, г. Москва, ул. Енисейская, д. 32, корпус 3";"29.05.2015";"Химия";"11";"3.73";"64167389";
5746;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2127»";"ГБОУ школа № 2127";"111672, г. Москва, ул. Салтыковская, д.13Б";"17.06.2015";"Иностранный язык (английский язык)";"1";"4";"64167390";
5747;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2031»";"ГБОУ школа № 2031";"111675, г. Москва, ул.Дмитриевского, д.13";"10.06.2015";"Обществознание";"1";"3";"64167391";
5748;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 856»";"ГБОУ школа № 856";"117208, г. Москва, Сумской пр., д.12, корп.6";"05.06.2015";"Биология";"1";"4";"64167392";
5749;"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1297»";"ГБОУ школа № 1297";"129110, г. Москва, Глинистый пер., д.7, стр.1";"05.06.2015";"Иностранный язык (английский язык)";"20";"4.8";"64167393";
